Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
4/1/2023,COD,109569000,Bas Uélé,Bambesa,projected,1/1/2023,6/30/2023,3,14433,0.1
4/1/2023,COD,109569000,Bas Uélé,Bambesa,projected,1/1/2023,6/30/2023,4,7216,0.05
4/1/2023,COD,109569000,Bas Uélé,Bambesa,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Bas Uélé,Bondo,projected,1/1/2023,6/30/2023,all,291754,1
4/1/2023,COD,109569000,Bas Uélé,Bondo,projected,1/1/2023,6/30/2023,3+,102113,0.35
4/1/2023,COD,109569000,Bas Uélé,Bondo,projected,1/1/2023,6/30/2023,1,58350,0.2
4/1/2023,COD,109569000,Bas Uélé,Bondo,projected,1/1/2023,6/30/2023,2,131289,0.45
4/1/2023,COD,109569000,Bas Uélé,Bondo,projected,1/1/2023,6/30/2023,3,72938,0.25
4/1/2023,COD,109569000,Bas Uélé,Bondo,projected,1/1/2023,6/30/2023,4,29175,0.1
4/1/2023,COD,109569000,Bas Uélé,Bondo,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Bas Uélé,Buta,projected,1/1/2023,6/30/2023,all,303185,1
4/1/2023,COD,109569000,Bas Uélé,Buta,projected,1/1/2023,6/30/2023,3+,45477,0.15
4/1/2023,COD,109569000,Bas Uélé,Buta,projected,1/1/2023,6/30/2023,1,106114,0.35
4/1/2023,COD,109569000,Bas Uélé,Buta,projected,1/1/2023,6/30/2023,2,151592,0.5
4/1/2023,COD,109569000,Bas Uélé,Buta,projected,1/1/2023,6/30/2023,3,30318,0.1
4/1/2023,COD,109569000,Bas Uélé,Buta,projected,1/1/2023,6/30/2023,4,15159,0.05
4/1/2023,COD,109569000,Bas Uélé,Buta,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Bas Uélé,Poko,projected,1/1/2023,6/30/2023,all,260191,1
4/1/2023,COD,109569000,Bas Uélé,Poko,projected,1/1/2023,6/30/2023,3+,65047,0.25
4/1/2023,COD,109569000,Bas Uélé,Poko,projected,1/1/2023,6/30/2023,1,65047,0.25
4/1/2023,COD,109569000,Bas Uélé,Poko,projected,1/1/2023,6/30/2023,2,130095,0.5
4/1/2023,COD,109569000,Bas Uélé,Poko,projected,1/1/2023,6/30/2023,3,52038,0.2
4/1/2023,COD,109569000,Bas Uélé,Poko,projected,1/1/2023,6/30/2023,4,13009,0.05
4/1/2023,COD,109569000,Bas Uélé,Poko,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Equateur,Basankusu,projected,1/1/2023,6/30/2023,all,311806,1
4/1/2023,COD,109569000,Equateur,Basankusu,projected,1/1/2023,6/30/2023,3+,124722,0.4
4/1/2023,COD,109569000,Equateur,Basankusu,projected,1/1/2023,6/30/2023,1,62361,0.2
4/1/2023,COD,109569000,Equateur,Basankusu,projected,1/1/2023,6/30/2023,2,124722,0.4
4/1/2023,COD,109569000,Equateur,Basankusu,projected,1/1/2023,6/30/2023,3,109132,0.35
4/1/2023,COD,109569000,Equateur,Basankusu,projected,1/1/2023,6/30/2023,4,15590,0.05
4/1/2023,COD,109569000,Equateur,Basankusu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Equateur,Ingende,projected,1/1/2023,6/30/2023,all,217083,1
4/1/2023,COD,109569000,Equateur,Ingende,projected,1/1/2023,6/30/2023,3+,75978,0.35
4/1/2023,COD,109569000,Equateur,Ingende,projected,1/1/2023,6/30/2023,1,65124,0.3
4/1/2023,COD,109569000,Equateur,Ingende,projected,1/1/2023,6/30/2023,2,75979,0.35
4/1/2023,COD,109569000,Equateur,Ingende,projected,1/1/2023,6/30/2023,3,65124,0.3
4/1/2023,COD,109569000,Equateur,Ingende,projected,1/1/2023,6/30/2023,4,10854,0.05
4/1/2023,COD,109569000,Equateur,Ingende,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Equateur,Mbandaka,projected,1/1/2023,6/30/2023,all,317625,1
4/1/2023,COD,109569000,Equateur,Mbandaka,projected,1/1/2023,6/30/2023,3+,47643,0.15
4/1/2023,COD,109569000,Equateur,Mbandaka,projected,1/1/2023,6/30/2023,1,111168,0.35
4/1/2023,COD,109569000,Equateur,Mbandaka,projected,1/1/2023,6/30/2023,2,158812,0.5
4/1/2023,COD,109569000,Equateur,Mbandaka,projected,1/1/2023,6/30/2023,3,47643,0.15
4/1/2023,COD,109569000,Equateur,Mbandaka,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Equateur,Mbandaka,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Equateur,Bikoro,projected,1/1/2023,6/30/2023,all,269443,1
4/1/2023,COD,109569000,Equateur,Bikoro,projected,1/1/2023,6/30/2023,3+,94304,0.35
4/1/2023,COD,109569000,Equateur,Bikoro,projected,1/1/2023,6/30/2023,1,67360,0.25
4/1/2023,COD,109569000,Equateur,Bikoro,projected,1/1/2023,6/30/2023,2,107777,0.4
4/1/2023,COD,109569000,Equateur,Bikoro,projected,1/1/2023,6/30/2023,3,80832,0.3
4/1/2023,COD,109569000,Equateur,Bikoro,projected,1/1/2023,6/30/2023,4,13472,0.05
4/1/2023,COD,109569000,Equateur,Bikoro,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Equateur,Lukolela,projected,1/1/2023,6/30/2023,all,149947,1
4/1/2023,COD,109569000,Equateur,Lukolela,projected,1/1/2023,6/30/2023,3+,52481,0.35
4/1/2023,COD,109569000,Equateur,Lukolela,projected,1/1/2023,6/30/2023,1,37486,0.25
4/1/2023,COD,109569000,Equateur,Lukolela,projected,1/1/2023,6/30/2023,2,59978,0.4
4/1/2023,COD,109569000,Equateur,Lukolela,projected,1/1/2023,6/30/2023,3,44984,0.3
4/1/2023,COD,109569000,Equateur,Lukolela,projected,1/1/2023,6/30/2023,4,7497,0.05
4/1/2023,COD,109569000,Equateur,Lukolela,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Equateur,Bolomba,projected,1/1/2023,6/30/2023,all,376063,1
4/1/2023,COD,109569000,Equateur,Bolomba,projected,1/1/2023,6/30/2023,3+,112818,0.3
4/1/2023,COD,109569000,Equateur,Bolomba,projected,1/1/2023,6/30/2023,1,94015,0.25
4/1/2023,COD,109569000,Equateur,Bolomba,projected,1/1/2023,6/30/2023,2,169228,0.45
4/1/2023,COD,109569000,Equateur,Bolomba,projected,1/1/2023,6/30/2023,3,112818,0.3
4/1/2023,COD,109569000,Equateur,Bolomba,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Equateur,Bolomba,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Equateur,Bomongo,projected,1/1/2023,6/30/2023,all,161018,1
4/1/2023,COD,109569000,Equateur,Bomongo,projected,1/1/2023,6/30/2023,3+,40254,0.25
4/1/2023,COD,109569000,Equateur,Bomongo,projected,1/1/2023,6/30/2023,1,56356,0.35
4/1/2023,COD,109569000,Equateur,Bomongo,projected,1/1/2023,6/30/2023,2,64407,0.4
4/1/2023,COD,109569000,Equateur,Bomongo,projected,1/1/2023,6/30/2023,3,40254,0.25
4/1/2023,COD,109569000,Equateur,Bomongo,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Equateur,Bomongo,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Equateur,Makanza,projected,1/1/2023,6/30/2023,all,102409,1
4/1/2023,COD,109569000,Equateur,Makanza,projected,1/1/2023,6/30/2023,3+,35843,0.35
4/1/2023,COD,109569000,Equateur,Makanza,projected,1/1/2023,6/30/2023,1,25602,0.25
4/1/2023,COD,109569000,Equateur,Makanza,projected,1/1/2023,6/30/2023,2,40963,0.4
4/1/2023,COD,109569000,Equateur,Makanza,projected,1/1/2023,6/30/2023,3,35843,0.35
4/1/2023,COD,109569000,Equateur,Makanza,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Equateur,Makanza,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tshuapa,Djolu,projected,1/1/2023,6/30/2023,all,355701,1
4/1/2023,COD,109569000,Tshuapa,Djolu,projected,1/1/2023,6/30/2023,3+,88925,0.25
4/1/2023,COD,109569000,Tshuapa,Djolu,projected,1/1/2023,6/30/2023,1,88925,0.25
4/1/2023,COD,109569000,Tshuapa,Djolu,projected,1/1/2023,6/30/2023,2,177850,0.5
4/1/2023,COD,109569000,Tshuapa,Djolu,projected,1/1/2023,6/30/2023,3,71140,0.2
4/1/2023,COD,109569000,Tshuapa,Djolu,projected,1/1/2023,6/30/2023,4,17785,0.05
4/1/2023,COD,109569000,Tshuapa,Djolu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tshuapa,Monkoto,projected,1/1/2023,6/30/2023,all,129389,1
4/1/2023,COD,109569000,Tshuapa,Monkoto,projected,1/1/2023,6/30/2023,3+,38816,0.3
4/1/2023,COD,109569000,Tshuapa,Monkoto,projected,1/1/2023,6/30/2023,1,25877,0.2
4/1/2023,COD,109569000,Tshuapa,Monkoto,projected,1/1/2023,6/30/2023,2,64694,0.5
4/1/2023,COD,109569000,Tshuapa,Monkoto,projected,1/1/2023,6/30/2023,3,32347,0.25
4/1/2023,COD,109569000,Tshuapa,Monkoto,projected,1/1/2023,6/30/2023,4,6469,0.05
4/1/2023,COD,109569000,Tshuapa,Monkoto,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tshuapa,Befale,projected,1/1/2023,6/30/2023,all,307187,1
4/1/2023,COD,109569000,Tshuapa,Befale,projected,1/1/2023,6/30/2023,3+,92155,0.3
4/1/2023,COD,109569000,Tshuapa,Befale,projected,1/1/2023,6/30/2023,1,61437,0.2
4/1/2023,COD,109569000,Tshuapa,Befale,projected,1/1/2023,6/30/2023,2,153593,0.5
4/1/2023,COD,109569000,Tshuapa,Befale,projected,1/1/2023,6/30/2023,3,76796,0.25
4/1/2023,COD,109569000,Tshuapa,Befale,projected,1/1/2023,6/30/2023,4,15359,0.05
4/1/2023,COD,109569000,Tshuapa,Befale,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tshuapa,Boende,projected,1/1/2023,6/30/2023,all,270269,1
4/1/2023,COD,109569000,Tshuapa,Boende,projected,1/1/2023,6/30/2023,3+,81080,0.3
4/1/2023,COD,109569000,Tshuapa,Boende,projected,1/1/2023,6/30/2023,1,54053,0.2
4/1/2023,COD,109569000,Tshuapa,Boende,projected,1/1/2023,6/30/2023,2,135134,0.5
4/1/2023,COD,109569000,Tshuapa,Boende,projected,1/1/2023,6/30/2023,3,67567,0.25
4/1/2023,COD,109569000,Tshuapa,Boende,projected,1/1/2023,6/30/2023,4,13513,0.05
4/1/2023,COD,109569000,Tshuapa,Boende,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tshuapa,Bokungu,projected,1/1/2023,6/30/2023,all,586470,1
4/1/2023,COD,109569000,Tshuapa,Bokungu,projected,1/1/2023,6/30/2023,3+,175940,0.3
