Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
2/1/2021,COD,105000000,Sud Kivu,Kalehe,current,2/1/2021,7/31/2021,3,132764,0.15
2/1/2021,COD,105000000,Sud Kivu,Kalehe,current,2/1/2021,7/31/2021,4,44255,0.05
2/1/2021,COD,105000000,Sud Kivu,Kalehe,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Sud Kivu,Kalehe,projected,8/1/2021,12/31/2021,all,885094,1
2/1/2021,COD,105000000,Sud Kivu,Kalehe,projected,8/1/2021,12/31/2021,3+,177019,0.2
2/1/2021,COD,105000000,Sud Kivu,Kalehe,projected,8/1/2021,12/31/2021,1,177019,0.2
2/1/2021,COD,105000000,Sud Kivu,Kalehe,projected,8/1/2021,12/31/2021,2,531056,0.6
2/1/2021,COD,105000000,Sud Kivu,Kalehe,projected,8/1/2021,12/31/2021,3,132764,0.15
2/1/2021,COD,105000000,Sud Kivu,Kalehe,projected,8/1/2021,12/31/2021,4,44255,0.05
2/1/2021,COD,105000000,Sud Kivu,Kalehe,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Sud Kivu,Mwenga,current,2/1/2021,7/31/2021,all,785923,1
2/1/2021,COD,105000000,Sud Kivu,Mwenga,current,2/1/2021,7/31/2021,3+,196481,0.25
2/1/2021,COD,105000000,Sud Kivu,Mwenga,current,2/1/2021,7/31/2021,1,157185,0.2
2/1/2021,COD,105000000,Sud Kivu,Mwenga,current,2/1/2021,7/31/2021,2,432258,0.55
2/1/2021,COD,105000000,Sud Kivu,Mwenga,current,2/1/2021,7/31/2021,3,196481,0.25
2/1/2021,COD,105000000,Sud Kivu,Mwenga,current,2/1/2021,7/31/2021,4,0,0
2/1/2021,COD,105000000,Sud Kivu,Mwenga,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Sud Kivu,Mwenga,projected,8/1/2021,12/31/2021,all,785923,1
2/1/2021,COD,105000000,Sud Kivu,Mwenga,projected,8/1/2021,12/31/2021,3+,117888,0.15
2/1/2021,COD,105000000,Sud Kivu,Mwenga,projected,8/1/2021,12/31/2021,1,157185,0.2
2/1/2021,COD,105000000,Sud Kivu,Mwenga,projected,8/1/2021,12/31/2021,2,510850,0.65
2/1/2021,COD,105000000,Sud Kivu,Mwenga,projected,8/1/2021,12/31/2021,3,117888,0.15
2/1/2021,COD,105000000,Sud Kivu,Mwenga,projected,8/1/2021,12/31/2021,4,0,0
2/1/2021,COD,105000000,Sud Kivu,Mwenga,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Isangi,current,2/1/2021,7/31/2021,all,614105,1
2/1/2021,COD,105000000,Tshopo,Isangi,current,2/1/2021,7/31/2021,3+,153526,0.25
2/1/2021,COD,105000000,Tshopo,Isangi,current,2/1/2021,7/31/2021,1,184232,0.3
2/1/2021,COD,105000000,Tshopo,Isangi,current,2/1/2021,7/31/2021,2,276347,0.45
2/1/2021,COD,105000000,Tshopo,Isangi,current,2/1/2021,7/31/2021,3,153526,0.25
2/1/2021,COD,105000000,Tshopo,Isangi,current,2/1/2021,7/31/2021,4,0,0
2/1/2021,COD,105000000,Tshopo,Isangi,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Isangi,projected,8/1/2021,12/31/2021,all,614105,1
2/1/2021,COD,105000000,Tshopo,Isangi,projected,8/1/2021,12/31/2021,3+,184231,0.3
2/1/2021,COD,105000000,Tshopo,Isangi,projected,8/1/2021,12/31/2021,1,153526,0.25
2/1/2021,COD,105000000,Tshopo,Isangi,projected,8/1/2021,12/31/2021,2,276347,0.45
2/1/2021,COD,105000000,Tshopo,Isangi,projected,8/1/2021,12/31/2021,3,153526,0.25
2/1/2021,COD,105000000,Tshopo,Isangi,projected,8/1/2021,12/31/2021,4,30705,0.05
2/1/2021,COD,105000000,Tshopo,Isangi,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Bafwasende,current,2/1/2021,7/31/2021,all,228969,1
2/1/2021,COD,105000000,Tshopo,Bafwasende,current,2/1/2021,7/31/2021,3+,68691,0.3
2/1/2021,COD,105000000,Tshopo,Bafwasende,current,2/1/2021,7/31/2021,1,45794,0.2
2/1/2021,COD,105000000,Tshopo,Bafwasende,current,2/1/2021,7/31/2021,2,114485,0.5
2/1/2021,COD,105000000,Tshopo,Bafwasende,current,2/1/2021,7/31/2021,3,45794,0.2
2/1/2021,COD,105000000,Tshopo,Bafwasende,current,2/1/2021,7/31/2021,4,22897,0.1
2/1/2021,COD,105000000,Tshopo,Bafwasende,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Bafwasende,projected,8/1/2021,12/31/2021,all,228969,1
2/1/2021,COD,105000000,Tshopo,Bafwasende,projected,8/1/2021,12/31/2021,3+,45793,0.2
2/1/2021,COD,105000000,Tshopo,Bafwasende,projected,8/1/2021,12/31/2021,1,68691,0.3
2/1/2021,COD,105000000,Tshopo,Bafwasende,projected,8/1/2021,12/31/2021,2,114485,0.5
2/1/2021,COD,105000000,Tshopo,Bafwasende,projected,8/1/2021,12/31/2021,3,34345,0.15
2/1/2021,COD,105000000,Tshopo,Bafwasende,projected,8/1/2021,12/31/2021,4,11448,0.05
2/1/2021,COD,105000000,Tshopo,Bafwasende,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Banalia,current,2/1/2021,7/31/2021,all,279767,1
2/1/2021,COD,105000000,Tshopo,Banalia,current,2/1/2021,7/31/2021,3+,69941,0.25
2/1/2021,COD,105000000,Tshopo,Banalia,current,2/1/2021,7/31/2021,1,83930,0.3
2/1/2021,COD,105000000,Tshopo,Banalia,current,2/1/2021,7/31/2021,2,125895,0.45
2/1/2021,COD,105000000,Tshopo,Banalia,current,2/1/2021,7/31/2021,3,55953,0.2
2/1/2021,COD,105000000,Tshopo,Banalia,current,2/1/2021,7/31/2021,4,13988,0.05
2/1/2021,COD,105000000,Tshopo,Banalia,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Banalia,projected,8/1/2021,12/31/2021,all,279767,1
2/1/2021,COD,105000000,Tshopo,Banalia,projected,8/1/2021,12/31/2021,3+,55953,0.2
2/1/2021,COD,105000000,Tshopo,Banalia,projected,8/1/2021,12/31/2021,1,83930,0.3
2/1/2021,COD,105000000,Tshopo,Banalia,projected,8/1/2021,12/31/2021,2,139884,0.5
2/1/2021,COD,105000000,Tshopo,Banalia,projected,8/1/2021,12/31/2021,3,55953,0.2
2/1/2021,COD,105000000,Tshopo,Banalia,projected,8/1/2021,12/31/2021,4,0,0
2/1/2021,COD,105000000,Tshopo,Banalia,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Ubundu,current,2/1/2021,7/31/2021,all,339647,1
2/1/2021,COD,105000000,Tshopo,Ubundu,current,2/1/2021,7/31/2021,3+,50947,0.15
2/1/2021,COD,105000000,Tshopo,Ubundu,current,2/1/2021,7/31/2021,1,84912,0.25
2/1/2021,COD,105000000,Tshopo,Ubundu,current,2/1/2021,7/31/2021,2,203788,0.6
2/1/2021,COD,105000000,Tshopo,Ubundu,current,2/1/2021,7/31/2021,3,50947,0.15
2/1/2021,COD,105000000,Tshopo,Ubundu,current,2/1/2021,7/31/2021,4,0,0
2/1/2021,COD,105000000,Tshopo,Ubundu,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Ubundu,projected,8/1/2021,12/31/2021,all,339647,1
2/1/2021,COD,105000000,Tshopo,Ubundu,projected,8/1/2021,12/31/2021,3+,67929,0.2
2/1/2021,COD,105000000,Tshopo,Ubundu,projected,8/1/2021,12/31/2021,1,101894,0.3
2/1/2021,COD,105000000,Tshopo,Ubundu,projected,8/1/2021,12/31/2021,2,169824,0.5
2/1/2021,COD,105000000,Tshopo,Ubundu,projected,8/1/2021,12/31/2021,3,67929,0.2
2/1/2021,COD,105000000,Tshopo,Ubundu,projected,8/1/2021,12/31/2021,4,0,0
2/1/2021,COD,105000000,Tshopo,Ubundu,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Yahuma,current,2/1/2021,7/31/2021,all,198618,1
2/1/2021,COD,105000000,Tshopo,Yahuma,current,2/1/2021,7/31/2021,3+,29793,0.15
2/1/2021,COD,105000000,Tshopo,Yahuma,current,2/1/2021,7/31/2021,1,79447,0.4
2/1/2021,COD,105000000,Tshopo,Yahuma,current,2/1/2021,7/31/2021,2,89378,0.45
2/1/2021,COD,105000000,Tshopo,Yahuma,current,2/1/2021,7/31/2021,3,29793,0.15
2/1/2021,COD,105000000,Tshopo,Yahuma,current,2/1/2021,7/31/2021,4,0,0
2/1/2021,COD,105000000,Tshopo,Yahuma,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Yahuma,projected,8/1/2021,12/31/2021,all,198618,1
2/1/2021,COD,105000000,Tshopo,Yahuma,projected,8/1/2021,12/31/2021,3+,49655,0.25
2/1/2021,COD,105000000,Tshopo,Yahuma,projected,8/1/2021,12/31/2021,1,69516,0.35
2/1/2021,COD,105000000,Tshopo,Yahuma,projected,8/1/2021,12/31/2021,2,79447,0.4
2/1/2021,COD,105000000,Tshopo,Yahuma,projected,8/1/2021,12/31/2021,3,39724,0.2
2/1/2021,COD,105000000,Tshopo,Yahuma,projected,8/1/2021,12/31/2021,4,9931,0.05
2/1/2021,COD,105000000,Tshopo,Yahuma,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Opala,current,2/1/2021,7/31/2021,all,286870,1
2/1/2021,COD,105000000,Tshopo,Opala,current,2/1/2021,7/31/2021,3+,43031,0.15
2/1/2021,COD,105000000,Tshopo,Opala,current,2/1/2021,7/31/2021,1,86061,0.3
2/1/2021,COD,105000000,Tshopo,Opala,current,2/1/2021,7/31/2021,2,157779,0.55
2/1/2021,COD,105000000,Tshopo,Opala,current,2/1/2021,7/31/2021,3,43031,0.15
2/1/2021,COD,105000000,Tshopo,Opala,current,2/1/2021,7/31/2021,4,0,0
2/1/2021,COD,105000000,Tshopo,Opala,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tshopo,Opala,projected,8/1/2021,12/31/2021,all,286870,1
2/1/2021,COD,105000000,Tshopo,Opala,projected,8/1/2021,12/31/2021,3+,57374,0.2
2/1/2021,COD,105000000,Tshopo,Opala,projected,8/1/2021,12/31/2021,1,86061,0.3
2/1/2021,COD,105000000,Tshopo,Opala,projected,8/1/2021,12/31/2021,2,143435,0.5
2/1/2021,COD,105000000,Tshopo,Opala,projected,8/1/2021,12/31/2021,3,57374,0.2
2/1/2021,COD,105000000,Tshopo,Opala,projected,8/1/2021,12/31/2021,4,0,0
2/1/2021,COD,105000000,Tshopo,Opala,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Kalemie,current,2/1/2021,7/31/2021,all,749828,1
2/1/2021,COD,105000000,Tanganyika,Kalemie,current,2/1/2021,7/31/2021,3+,262440,0.35
2/1/2021,COD,105000000,Tanganyika,Kalemie,current,2/1/2021,7/31/2021,1,149966,0.2
2/1/2021,COD,105000000,Tanganyika,Kalemie,current,2/1/2021,7/31/2021,2,337423,0.45
2/1/2021,COD,105000000,Tanganyika,Kalemie,current,2/1/2021,7/31/2021,3,149966,0.2
2/1/2021,COD,105000000,Tanganyika,Kalemie,current,2/1/2021,7/31/2021,4,112474,0.15
2/1/2021,COD,105000000,Tanganyika,Kalemie,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Kalemie,projected,8/1/2021,12/31/2021,all,749828,1
2/1/2021,COD,105000000,Tanganyika,Kalemie,projected,8/1/2021,12/31/2021,3+,337422,0.45
2/1/2021,COD,105000000,Tanganyika,Kalemie,projected,8/1/2021,12/31/2021,1,112474,0.15
2/1/2021,COD,105000000,Tanganyika,Kalemie,projected,8/1/2021,12/31/2021,2,299931,0.4
2/1/2021,COD,105000000,Tanganyika,Kalemie,projected,8/1/2021,12/31/2021,3,224948,0.3
2/1/2021,COD,105000000,Tanganyika,Kalemie,projected,8/1/2021,12/31/2021,4,112474,0.15
2/1/2021,COD,105000000,Tanganyika,Kalemie,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Kabalo,current,2/1/2021,7/31/2021,all,291347,1
2/1/2021,COD,105000000,Tanganyika,Kabalo,current,2/1/2021,7/31/2021,3+,101972,0.35
2/1/2021,COD,105000000,Tanganyika,Kabalo,current,2/1/2021,7/31/2021,1,43702,0.15
2/1/2021,COD,105000000,Tanganyika,Kabalo,current,2/1/2021,7/31/2021,2,145674,0.5
2/1/2021,COD,105000000,Tanganyika,Kabalo,current,2/1/2021,7/31/2021,3,72837,0.25
2/1/2021,COD,105000000,Tanganyika,Kabalo,current,2/1/2021,7/31/2021,4,29135,0.1
2/1/2021,COD,105000000,Tanganyika,Kabalo,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Kabalo,projected,8/1/2021,12/31/2021,all,291347,1
2/1/2021,COD,105000000,Tanganyika,Kabalo,projected,8/1/2021,12/31/2021,3+,116539,0.4
2/1/2021,COD,105000000,Tanganyika,Kabalo,projected,8/1/2021,12/31/2021,1,43702,0.15
2/1/2021,COD,105000000,Tanganyika,Kabalo,projected,8/1/2021,12/31/2021,2,131106,0.45
2/1/2021,COD,105000000,Tanganyika,Kabalo,projected,8/1/2021,12/31/2021,3,72837,0.25
2/1/2021,COD,105000000,Tanganyika,Kabalo,projected,8/1/2021,12/31/2021,4,43702,0.15
2/1/2021,COD,105000000,Tanganyika,Kabalo,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Kongolo,current,2/1/2021,7/31/2021,all,568105,1
2/1/2021,COD,105000000,Tanganyika,Kongolo,current,2/1/2021,7/31/2021,3+,198837,0.35
2/1/2021,COD,105000000,Tanganyika,Kongolo,current,2/1/2021,7/31/2021,1,170432,0.3
2/1/2021,COD,105000000,Tanganyika,Kongolo,current,2/1/2021,7/31/2021,2,198837,0.35
2/1/2021,COD,105000000,Tanganyika,Kongolo,current,2/1/2021,7/31/2021,3,142026,0.25
2/1/2021,COD,105000000,Tanganyika,Kongolo,current,2/1/2021,7/31/2021,4,56811,0.1
2/1/2021,COD,105000000,Tanganyika,Kongolo,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Kongolo,projected,8/1/2021,12/31/2021,all,568105,1
2/1/2021,COD,105000000,Tanganyika,Kongolo,projected,8/1/2021,12/31/2021,3+,255648,0.45
2/1/2021,COD,105000000,Tanganyika,Kongolo,projected,8/1/2021,12/31/2021,1,85216,0.15
2/1/2021,COD,105000000,Tanganyika,Kongolo,projected,8/1/2021,12/31/2021,2,227242,0.4
2/1/2021,COD,105000000,Tanganyika,Kongolo,projected,8/1/2021,12/31/2021,3,198837,0.35
2/1/2021,COD,105000000,Tanganyika,Kongolo,projected,8/1/2021,12/31/2021,4,56811,0.1
2/1/2021,COD,105000000,Tanganyika,Kongolo,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Manono,current,2/1/2021,7/31/2021,all,811581,1
2/1/2021,COD,105000000,Tanganyika,Manono,current,2/1/2021,7/31/2021,3+,324632,0.4
2/1/2021,COD,105000000,Tanganyika,Manono,current,2/1/2021,7/31/2021,1,202895,0.25
2/1/2021,COD,105000000,Tanganyika,Manono,current,2/1/2021,7/31/2021,2,284053,0.35
2/1/2021,COD,105000000,Tanganyika,Manono,current,2/1/2021,7/31/2021,3,162316,0.2
2/1/2021,COD,105000000,Tanganyika,Manono,current,2/1/2021,7/31/2021,4,162316,0.2
2/1/2021,COD,105000000,Tanganyika,Manono,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Manono,projected,8/1/2021,12/31/2021,all,811581,1
2/1/2021,COD,105000000,Tanganyika,Manono,projected,8/1/2021,12/31/2021,3+,365211,0.45
2/1/2021,COD,105000000,Tanganyika,Manono,projected,8/1/2021,12/31/2021,1,121737,0.15
2/1/2021,COD,105000000,Tanganyika,Manono,projected,8/1/2021,12/31/2021,2,324632,0.4
2/1/2021,COD,105000000,Tanganyika,Manono,projected,8/1/2021,12/31/2021,3,202895,0.25
2/1/2021,COD,105000000,Tanganyika,Manono,projected,8/1/2021,12/31/2021,4,162316,0.2
2/1/2021,COD,105000000,Tanganyika,Manono,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Moba,current,2/1/2021,7/31/2021,all,561367,1
2/1/2021,COD,105000000,Tanganyika,Moba,current,2/1/2021,7/31/2021,3+,252615,0.45
2/1/2021,COD,105000000,Tanganyika,Moba,current,2/1/2021,7/31/2021,1,84205,0.15
2/1/2021,COD,105000000,Tanganyika,Moba,current,2/1/2021,7/31/2021,2,224547,0.4
2/1/2021,COD,105000000,Tanganyika,Moba,current,2/1/2021,7/31/2021,3,140342,0.25
2/1/2021,COD,105000000,Tanganyika,Moba,current,2/1/2021,7/31/2021,4,112273,0.2
2/1/2021,COD,105000000,Tanganyika,Moba,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Moba,projected,8/1/2021,12/31/2021,all,561367,1
2/1/2021,COD,105000000,Tanganyika,Moba,projected,8/1/2021,12/31/2021,3+,224547,0.4
2/1/2021,COD,105000000,Tanganyika,Moba,projected,8/1/2021,12/31/2021,1,84205,0.15
2/1/2021,COD,105000000,Tanganyika,Moba,projected,8/1/2021,12/31/2021,2,252615,0.45
2/1/2021,COD,105000000,Tanganyika,Moba,projected,8/1/2021,12/31/2021,3,140342,0.25
2/1/2021,COD,105000000,Tanganyika,Moba,projected,8/1/2021,12/31/2021,4,84205,0.15
2/1/2021,COD,105000000,Tanganyika,Moba,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Nyunzu,current,2/1/2021,7/31/2021,all,299274,1
2/1/2021,COD,105000000,Tanganyika,Nyunzu,current,2/1/2021,7/31/2021,3+,119710,0.4
2/1/2021,COD,105000000,Tanganyika,Nyunzu,current,2/1/2021,7/31/2021,1,44891,0.15
2/1/2021,COD,105000000,Tanganyika,Nyunzu,current,2/1/2021,7/31/2021,2,134673,0.45
2/1/2021,COD,105000000,Tanganyika,Nyunzu,current,2/1/2021,7/31/2021,3,74819,0.25
2/1/2021,COD,105000000,Tanganyika,Nyunzu,current,2/1/2021,7/31/2021,4,44891,0.15
2/1/2021,COD,105000000,Tanganyika,Nyunzu,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Tanganyika,Nyunzu,projected,8/1/2021,12/31/2021,all,299274,1
2/1/2021,COD,105000000,Tanganyika,Nyunzu,projected,8/1/2021,12/31/2021,3+,134673,0.45
2/1/2021,COD,105000000,Tanganyika,Nyunzu,projected,8/1/2021,12/31/2021,1,44891,0.15
2/1/2021,COD,105000000,Tanganyika,Nyunzu,projected,8/1/2021,12/31/2021,2,119710,0.4
2/1/2021,COD,105000000,Tanganyika,Nyunzu,projected,8/1/2021,12/31/2021,3,89782,0.3
2/1/2021,COD,105000000,Tanganyika,Nyunzu,projected,8/1/2021,12/31/2021,4,44891,0.15
2/1/2021,COD,105000000,Tanganyika,Nyunzu,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Masina,current,2/1/2021,7/31/2021,all,797641,1
2/1/2021,COD,105000000,Kinshasa,Masina,current,2/1/2021,7/31/2021,3+,199410,0.25
2/1/2021,COD,105000000,Kinshasa,Masina,current,2/1/2021,7/31/2021,1,239292,0.3
2/1/2021,COD,105000000,Kinshasa,Masina,current,2/1/2021,7/31/2021,2,358938,0.45
2/1/2021,COD,105000000,Kinshasa,Masina,current,2/1/2021,7/31/2021,3,159528,0.2
2/1/2021,COD,105000000,Kinshasa,Masina,current,2/1/2021,7/31/2021,4,39882,0.05
2/1/2021,COD,105000000,Kinshasa,Masina,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Masina,projected,8/1/2021,12/31/2021,all,797641,1
2/1/2021,COD,105000000,Kinshasa,Masina,projected,8/1/2021,12/31/2021,3+,199410,0.25
2/1/2021,COD,105000000,Kinshasa,Masina,projected,8/1/2021,12/31/2021,1,279174,0.35
2/1/2021,COD,105000000,Kinshasa,Masina,projected,8/1/2021,12/31/2021,2,319056,0.4
2/1/2021,COD,105000000,Kinshasa,Masina,projected,8/1/2021,12/31/2021,3,159528,0.2
2/1/2021,COD,105000000,Kinshasa,Masina,projected,8/1/2021,12/31/2021,4,39882,0.05
2/1/2021,COD,105000000,Kinshasa,Masina,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Kintambo,current,2/1/2021,7/31/2021,all,136861,1
2/1/2021,COD,105000000,Kinshasa,Kintambo,current,2/1/2021,7/31/2021,3+,6849,0.05
2/1/2021,COD,105000000,Kinshasa,Kintambo,current,2/1/2021,7/31/2021,1,102646,0.75
2/1/2021,COD,105000000,Kinshasa,Kintambo,current,2/1/2021,7/31/2021,2,27372,0.2
2/1/2021,COD,105000000,Kinshasa,Kintambo,current,2/1/2021,7/31/2021,3,6843,0.05
2/1/2021,COD,105000000,Kinshasa,Kintambo,current,2/1/2021,7/31/2021,4,6,0
2/1/2021,COD,105000000,Kinshasa,Kintambo,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Kintambo,projected,8/1/2021,12/31/2021,all,136861,1
2/1/2021,COD,105000000,Kinshasa,Kintambo,projected,8/1/2021,12/31/2021,3+,0,0
2/1/2021,COD,105000000,Kinshasa,Kintambo,projected,8/1/2021,12/31/2021,1,109489,0.8
2/1/2021,COD,105000000,Kinshasa,Kintambo,projected,8/1/2021,12/31/2021,2,27372,0.2
2/1/2021,COD,105000000,Kinshasa,Kintambo,projected,8/1/2021,12/31/2021,3,0,0
2/1/2021,COD,105000000,Kinshasa,Kintambo,projected,8/1/2021,12/31/2021,4,0,0
2/1/2021,COD,105000000,Kinshasa,Kintambo,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Ndjili,current,2/1/2021,7/31/2021,all,421116,1
2/1/2021,COD,105000000,Kinshasa,Ndjili,current,2/1/2021,7/31/2021,3+,84223,0.2
2/1/2021,COD,105000000,Kinshasa,Ndjili,current,2/1/2021,7/31/2021,1,105279,0.25
2/1/2021,COD,105000000,Kinshasa,Ndjili,current,2/1/2021,7/31/2021,2,231614,0.55
2/1/2021,COD,105000000,Kinshasa,Ndjili,current,2/1/2021,7/31/2021,3,63167,0.15
2/1/2021,COD,105000000,Kinshasa,Ndjili,current,2/1/2021,7/31/2021,4,21056,0.05
2/1/2021,COD,105000000,Kinshasa,Ndjili,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Ndjili,projected,8/1/2021,12/31/2021,all,421116,1
2/1/2021,COD,105000000,Kinshasa,Ndjili,projected,8/1/2021,12/31/2021,3+,84223,0.2
2/1/2021,COD,105000000,Kinshasa,Ndjili,projected,8/1/2021,12/31/2021,1,126335,0.3
2/1/2021,COD,105000000,Kinshasa,Ndjili,projected,8/1/2021,12/31/2021,2,210558,0.5
2/1/2021,COD,105000000,Kinshasa,Ndjili,projected,8/1/2021,12/31/2021,3,63167,0.15
2/1/2021,COD,105000000,Kinshasa,Ndjili,projected,8/1/2021,12/31/2021,4,21056,0.05
2/1/2021,COD,105000000,Kinshasa,Ndjili,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Bumbu,current,2/1/2021,7/31/2021,all,541844,1
2/1/2021,COD,105000000,Kinshasa,Bumbu,current,2/1/2021,7/31/2021,3+,135461,0.25
2/1/2021,COD,105000000,Kinshasa,Bumbu,current,2/1/2021,7/31/2021,1,189645,0.35
2/1/2021,COD,105000000,Kinshasa,Bumbu,current,2/1/2021,7/31/2021,2,216738,0.4
2/1/2021,COD,105000000,Kinshasa,Bumbu,current,2/1/2021,7/31/2021,3,108369,0.2
2/1/2021,COD,105000000,Kinshasa,Bumbu,current,2/1/2021,7/31/2021,4,27092,0.05
2/1/2021,COD,105000000,Kinshasa,Bumbu,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Bumbu,projected,8/1/2021,12/31/2021,all,541844,1
2/1/2021,COD,105000000,Kinshasa,Bumbu,projected,8/1/2021,12/31/2021,3+,135461,0.25
2/1/2021,COD,105000000,Kinshasa,Bumbu,projected,8/1/2021,12/31/2021,1,189645,0.35
2/1/2021,COD,105000000,Kinshasa,Bumbu,projected,8/1/2021,12/31/2021,2,216738,0.4
2/1/2021,COD,105000000,Kinshasa,Bumbu,projected,8/1/2021,12/31/2021,3,108369,0.2
2/1/2021,COD,105000000,Kinshasa,Bumbu,projected,8/1/2021,12/31/2021,4,27092,0.05
2/1/2021,COD,105000000,Kinshasa,Bumbu,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Kisenso,current,2/1/2021,7/31/2021,all,566310,1
2/1/2021,COD,105000000,Kinshasa,Kisenso,current,2/1/2021,7/31/2021,3+,56631,0.1
2/1/2021,COD,105000000,Kinshasa,Kisenso,current,2/1/2021,7/31/2021,1,283155,0.5
2/1/2021,COD,105000000,Kinshasa,Kisenso,current,2/1/2021,7/31/2021,2,226524,0.4
2/1/2021,COD,105000000,Kinshasa,Kisenso,current,2/1/2021,7/31/2021,3,56631,0.1
2/1/2021,COD,105000000,Kinshasa,Kisenso,current,2/1/2021,7/31/2021,4,0,0
2/1/2021,COD,105000000,Kinshasa,Kisenso,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Kisenso,projected,8/1/2021,12/31/2021,all,566310,1
2/1/2021,COD,105000000,Kinshasa,Kisenso,projected,8/1/2021,12/31/2021,3+,56631,0.1
2/1/2021,COD,105000000,Kinshasa,Kisenso,projected,8/1/2021,12/31/2021,1,283155,0.5
2/1/2021,COD,105000000,Kinshasa,Kisenso,projected,8/1/2021,12/31/2021,2,226524,0.4
2/1/2021,COD,105000000,Kinshasa,Kisenso,projected,8/1/2021,12/31/2021,3,56631,0.1
2/1/2021,COD,105000000,Kinshasa,Kisenso,projected,8/1/2021,12/31/2021,4,0,0
2/1/2021,COD,105000000,Kinshasa,Kisenso,projected,8/1/2021,12/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Nsele,current,2/1/2021,7/31/2021,all,230102,1
2/1/2021,COD,105000000,Kinshasa,Nsele,current,2/1/2021,7/31/2021,3+,46020,0.2
2/1/2021,COD,105000000,Kinshasa,Nsele,current,2/1/2021,7/31/2021,1,69031,0.3
2/1/2021,COD,105000000,Kinshasa,Nsele,current,2/1/2021,7/31/2021,2,115051,0.5
2/1/2021,COD,105000000,Kinshasa,Nsele,current,2/1/2021,7/31/2021,3,46020,0.2
2/1/2021,COD,105000000,Kinshasa,Nsele,current,2/1/2021,7/31/2021,4,0,0
2/1/2021,COD,105000000,Kinshasa,Nsele,current,2/1/2021,7/31/2021,5,0,0
2/1/2021,COD,105000000,Kinshasa,Nsele,projected,8/1/2021,12/31/2021,all,230102,1
2/1/2021,COD,105000000,Kinshasa,Nsele,projected,8/1/2021,12/31/2021,3+,23010,0.1
2/1/2021,COD,105000000,Kinshasa,Nsele,projected,8/1/2021,12/31/2021,1,92041,0.4
2/1/2021,COD,105000000,Kinshasa,Nsele,projected,8/1/2021,12/31/2021,2,115051,0.5
