Random_ID,WORRIED,HEALTHY,FEWFOOD,SKIPPED,ATELESS,RUNOUT,HUNGRY,WHLDAY,wt,year,N_adults,N_child,Raw_score,Raw_score_par,Raw_score_par_error,Prob_Mod_Sev,Prob_sev,Age,Education,Area,Gender
199028686,1,1,1,1,1,1,0,1,.5711000000000001,2020,04,04,7,2.8574209055801,1.34735900352858,.99066794157314,.7669221841951051,21,Secondary,Towns/Rural,Female
180973279,1,1,1,1,1,1,1,1,.5760999999999999,2020,03,05,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,38,Secondary,Towns/Rural,Female
136544687,0,0,0,0,0,0,0,0,.2575,2020,07,01,0,-3.47563223924269,1.78440668629484,0,0,28,College,Towns/Rural,Female
123785263,1,1,1,1,1,1,1,1,.1526,2020,08,07,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,55,College,Towns/Rural,Female
128864714,1,0,1,1,1,1,1,1,.953,2020,07,06,7,2.8574209055801,1.34735900352858,.99066794157314,.7669221841951051,36,Secondary,Towns/Rural,Male
161169061,1,1,1,1,1,1,1,1,.8983,2020,02,08,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,69,Secondary,Urban/Suburbs,Male
122716256,1,1,0,1,1,1,0,1,.5711000000000001,2020,02,03,6,1.70629385467405,1.06083907823783,.971437695827388,.436623513369523,22,Secondary,Towns/Rural,Female
151309581,1,1,1,1,1,0,0,0,2.1539,2020,06,02,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,50,Secondary,Towns/Rural,Female
199806227,0,0,1,1,1,0,0,0,.4216,2020,02,03,3,-.6046624297919,.9476819923115239,.378649207172142,.0044337548457961,30,Secondary,Towns/Rural,Male
187367818,1,0,0,0,0,0,0,0,.2575,2020,02,03,1,-2.53169462982636,1.33073701427257,.047641054506747,.0004633705923494,35,College,Urban/Suburbs,Female
184711545,0,0,0,0,0,0,1,0,.194,2020,05,07,1,-2.53169462982636,1.33073701427257,.047641054506747,.0004633705923494,75,Elementary_or_less,Towns/Rural,Male
122169346,1,1,0,1,1,1,1,0,.9059,2020,04,06,6,1.70629385467405,1.06083907823783,.971437695827388,.436623513369523,40,Elementary_or_less,Urban/Suburbs,Male
179754075,1,1,1,1,1,1,1,1,.8538,2020,04,03,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,20,Elementary_or_less,Urban/Suburbs,Male
